sample_id,has_text_embedding,has_image_embedding,text_preview
217392,True,True,Item Name: Gift Basket Village Gourmet Meat and Cheese Gift Set - Swiss Cheese & Summer Sausages - G...
209156,True,True,"Item Name: NPG Dried Lotus Seeds 16 Oz, Uncooked White Phool Makhana, Fox Nut, Perfect for Lotus See..."
262333,True,True,Item Name: Annies Homegrown Macaroni and Cheese - Organic - Classic - 6 oz - case of 12 - 95%+ Organ...
295979,True,True,"Item Name: Bear Creek Country Kitchens Creamy Wild Rice Soup Mix, 10.1 Ounce
Product Description: 10..."
50604,True,True,"Item Name: Japanese Kelp Kombu Umami Soup Stock, Instant Seasoning Base, Product of Japan, 4g x 10 P..."
184343,True,True,"Item Name: LÄRABAR Key Lime Pie, Gluten Free Vegan Fruit & Nut Bars, 1.6 oz, 16 ct
Bullet Point 1: H..."
11241,True,True,"Item Name: FRONTIER Ground Cumin, 0.5 OZ
Bullet Point 1: Diet Type: Kosher
Bullet Point 2: Non-GMO C..."
17551,True,True,"Item Name: Schweppes - Bitter Lemon
Value: 11.15
Unit: Fl Oz
"
13187,True,True,Item Name: Taffy Town Saltwater Taffy- Chip Cookie | Gourmet Taffy| Nougat-Style Candy| Soft & Delic...
55004,True,True,"Item Name: Vegan Egg Substitute For Baking 12 oz (340 g) | Just About Foods
Bullet Point 1: Meet our..."
182180,True,True,"Item Name: 1907 WATER New Zealand 67.6Fz Water, 67.6 FZ
Bullet Point 1: Natural ingredients
Bullet P..."
104303,True,True,"Item Name: Jalapeno Pecan Jelly 11 oz. | Millican Pecan since 1888 | San Saba, Texas
Value: 11.0
Uni..."
21764,True,True,"Item Name: Mina Harissa Hot Sauce, Gourmet Moroccan Heat, Homestyle Spicy Red Chili Harissa Paste wi..."
70671,True,True,"Item Name: SEVENTH GENERATION Honeycrisp Apple Foaming Dish Spray Refill, 16 FZ
Bullet Point 1: Safe..."
165919,True,True,"Item Name: LorAnn Tangerine Oil SS, Natural, 1 dram bottle (.0125 fl oz - 3.7ml - 1 teaspoon)- 12 Pa..."
261335,True,True,"Item Name: Langers 100% USA Grown Juice, Concord Grape, 64 Ounce (Pack of 8)
Bullet Point 1: 100% Ju..."
18662,True,True,"Item Name: PAM No-Stick Cooking Spray, Original (Pack of 2)
Value: 12.0
Unit: Ounce
"
72584,True,True,"Item Name: YumEarth Choco Yums, 5- 0.7 Ounce Snack Packs, Allergy Friendly, Gluten Free, Non-GMO, Ve..."
143166,True,True,"Item Name: Troyer Cheese Onyums Onion Flavored Rings (2 bags)
Bullet Point 1: Pack of 2 bags
Bullet ..."
186882,True,True,"Item Name: L’Oréal Paris Cosmetics Color Riche Matte Lip Liner, Matte-stermind, 0.04 Ounce
Bullet Po..."
39645,True,True,"Item Name: Simply Asia Spicy Mongolian Noodle Bowl, 8.5 oz (Pack of 6)
Bullet Point 1: Spicy Mongoli..."
159533,True,True,"Item Name: Taffy Town Watermelon Salt Water Taffy, 1LB
Value: 16.0
Unit: Ounce
"
60187,True,True,Item Name: Black Salt | Authentic Kala Namak for Indian & Global Cuisine | Mineral-Rich Vegan-Friend...
170797,True,True,Item Name: Crystal Light Sugar-Free Zero Calorie Liquid Water Enhancer - Blueberry Raspberry Water F...
66314,True,True,"Item Name: SWEDISH FISH Mini with Assorted Eggs Soft & Chewy Easter Candy, 18 Snack Packs
Bullet Poi..."
51091,True,True,"Item Name: Goodman's Pure Peppermint Extract - 1 ounce (Pack of 2)
Bullet Point 1: Kosher
Bullet Poi..."
287788,True,True,Item Name: Jelly Belly Unbearably Hot Cinnamon Bears Candy - 1 Pound (16 Ounces) Resealable Bag - Ge...
164102,True,True,"Item Name: Cento Tomatoes Puree 28.0 OZ (Pack of 6)
Value: 168.0
Unit: Fl Oz
"
84407,True,True,"Item Name: Hampton Farms Hot Nuts Cajun Spicy Peanuts, 10 oz.(Pack of 2)
Bullet Point 1: CAJUN PEANU..."
222817,True,True,"Item Name: Beulah's JuJu Bunnies, 1 Pound Package, 60 Pieces of Candy
Bullet Point 1: Yellow, Red, O..."
82351,True,True,"Item Name: Dream Soy Milk - Enriched Original - 32 oz - 3 pk
Product Description: Soy Dream Original..."
146107,True,True,"Item Name: Brandy Black Tea (Loose) (8 oz, ZIN: 533950) - 2 Pack
Bullet Point 1: Our Brandy Black Te..."
288989,True,True,"Item Name: Stretch Island Fruit Leather Snacks Variety Pack, Cherry, apple, strawberry, apricot, gra..."
237589,True,True,"Item Name: Del Monte Fruit Refreshers Pineapple & Mango in Prickly Pear Flavor Fruit Water 12 Pack
B..."
76467,True,True,"Item Name: Swanson, Canned Chicken, 12.5oz Can (Pack of 4) (Choose Size Below) (12.5oz Can Premium C..."
140742,True,True,"Item Name: Secret Wide Solid Anti-Perspirant & Deodorant, Powder Fresh Scent - 2.7 Oz Ea, 2 Count
Bu..."
113002,True,True,"Item Name: Tapatio Hot Sauce Salsa Picante 5 oz (1 bottle)
Product Description: Tapatio Hot Sauce Sa..."
233032,True,True,Item Name: Bones Coffee Company Hot Chocolate Mix – Dairy Free Hot Cocoa Powdered Drink with Natural...
195259,True,True,"Item Name: Centaury Tea (Loose) (4 oz, ZIN: 513806) - 3 Pack
Bullet Point 1: Centaury Tea (Loose) (4..."
62879,True,True,"Item Name: Food to Live Organic Italian Pizza Flour – Non-GMO Double Zero 00 Pizza Crust Mix, A Cust..."
80530,True,True,"Item Name: Food to Live Organic Pecan Halves, 9 Pounds – Non-GMO, Kosher, Raw Pecan Nuts, Unsalted, ..."
137179,True,True,"Item Name: SmartSweets Sweet Fish, Low Sugar Gummy Candy (3g), Low Calorie (130), Gluten-Free -1.8oz..."
33905,True,True,"Item Name: Tone's Bay Leaves, 0.19 Ounce
Bullet Point 1: Also known as laurel leaf, this herb is hig..."
133818,True,True,"Item Name: Everest Meat Masala 100g / 3.50 oz (Pack of 3)
Value: 10.5
Unit: Ounce
"
77796,True,True,"Item Name: Embasa Whole Jalapenos 24x 26OZ
Value: 624.0
Unit: Fl Oz
"
36107,True,True,"Item Name: Chocolate de Mesa Embajador - Sweet baking Chocolate from Republica Dominicana (1)
Bullet..."
154665,True,True,"Item Name: Joe T Garcia's Salsa Picante 16oz Glass Jar (Pack of 6) (Mild)
Bullet Point: 6 - 16oz Jar..."
37027,True,True,"Item Name: Old El Paso Traditional Refried Beans, Value Size, 31 oz. (Pack of 12)
Bullet Point 1: RE..."
240232,True,True,"Item Name: Frontier Soups Hearty Meals Nebraska Barnraising Split Pea Soup, 16-Ounce Bags, 2pk
Bulle..."
245432,True,True,"Item Name: Coca-Cola Spiced 2 Liter
Bullet Point 1: Try the new Coca-Cola Spiced​
Bullet Point 2: Ic..."
127312,True,True,"Item Name: Sahale Snacks Pomegranate Vanilla Cashews Glazed Mix, 4 Ounces
Bullet Point 1: Contains 1..."
171816,True,True,"Item Name: Martinelli's Organic Apple Juice, 64 Fl Oz
Bullet Point 1: Certified Organic: Martinelli'..."
16997,True,True,"Item Name: Cocomels Vanilla Coconut Milk Caramels Organic Vegan Candy, Vanilla Flavor, Pack of 6
Bul..."
240492,True,True,"Item Name: Three Pepper Barbecue Sauce
Bullet Point 1: Flavoring: Three Pepper Barbecue Sauce is swe..."
288383,True,True,"Item Name: Schär Gluten Free Pizza Crusts, 2-Count
Bullet Point 1: One 10.6 oz. box of Gluten Free P..."
13764,True,True,Item Name: Premium | POPCORN SEASONING | Variety 2 Pack | Parmesan Rosemary Popcorn Seasoning | Whit...
187870,True,True,"Item Name: Great Water Arrowhead Water Mountain Spring Water, 33.814 fl oz
Bullet Point 1: Zero calo..."
11448,True,True,"Item Name: Gold Medal Oat Bran Muffin Mix, 5 Lb Box (Pack of 6)
Bullet Point 1: Muffin Mix: american..."
43719,True,True,"Item Name: Gloria Jean's Coffees Hazelnut, Single Serve Coffee K-Cup Pod, Flavored Coffee, 24
Bullet..."
232550,True,True,Item Name: Asian Kitchen Kolhapuri Gur (Jaggery) Cubes 17.5oz (1.1lbs) 500g PET Jar ~ Unrefined Cane...
115910,True,True,"Item Name: Steven Raichlen Himalayan Salt Block for Grilling (8""x8""x1.5"") Barbecue Grill Slab Natura..."
60725,True,True,"Item Name: Sucralose Blended with Erythritol All Purpose Sweetener, 5kgs/11lbs/176oz)
Bullet Point 1..."
104621,True,True,"Item Name: Gold Edible Poppy Paint, Fast Drying Poppy Paint for Cake Pops, Cookies, Chocolates – Pre..."
22217,True,True,"Item Name: R.W. Knudsen, Juice Just Concord Grape Organic, 32 ounces (Pack of 2)
Value: 64.0
Unit: F..."
120241,True,True,"Item Name: Hormel Chili with Beans, 15 oz (425 g) (Pack of 6)
Value: 6.0
Unit: Count
"
216080,True,True,"Item Name: Amos Gummy Eyeball Halloween Candy, Edible Eye Candy for Trick or Treat, 3D Candy Eyes In..."
73501,True,True,"Item Name: Harry & David Classic Caramel Moose Munch Box Premium Popcorn 10oz
Bullet Point 1: This M..."
214869,True,True,"Item Name: Rose’s Sweetened Lime Syrup 12oz Bottle | Perfect for Cocktails, Beverages, and Mixers
Bu..."
275959,True,True,"Item Name: Campbell's Chicken Gravy with Real Chicken Stock 10.5 oz
Bullet Point 1: 3g total carbs p..."
267698,True,True,"Item Name: EKO Cinnamon Spirit, Espiritu De Canela Spirit 1/2 oz (Pack of 3)
Value: 3.0
Unit: Count
"
149544,True,True,"Item Name: Black Raspberry Orange White Tea (Loose) (4 oz, ZIN: 538494) - 3 Pack
Bullet Point 1: Our..."
176733,True,True,"Item Name: Fisher Snack Honey Roasted Peanuts, 36 Ounces (Pack of 6), Made with Real Honey, 100% Rec..."
17129,True,True,Item Name: Happy Birthday Cookies - Birthday Cookie Gift Basket - Gourmet Food Gifting for Him/Her (...
269085,True,True,Item Name: Enjoy Hot Beef Jerky 3 oz (Pack of 1) | Traditional Style | USA Made | High Protein | Low...
29960,True,True,"Item Name: Myojo Udon Noodle Soup Mix Beef, 7.22-Ounce Packages (Pack of 30)
Bullet Point 1: Pack of..."
93964,True,True,"Item Name: Chung Jung One O'Food Premium Anchovy Fish Sauce, Korean Pantry Staple Flavor Enhancer, P..."
68575,True,True,"Item Name: Madhava Organic Light Nectar Agave, Organic, Certified Kosher, Pure, 176 Ounce (Pack of 4..."
243936,True,True,"Item Name: San Diego Coffee Macadamia Nut, Medium Roast, Ground Coffee, 16-Ounce Bag Café molido tos..."
85054,True,True,"Item Name: Kellogg's Frosted Flakes Frosted Flakes Cereal - 26.8 oz
Bullet Point: Frosted Flakes Cer..."
220124,True,True,"Item Name: Second Nature Trail Mix, Wholesome Medley, 1.5 oz, 16 ct
Bullet Point 1: 5g protein per p..."
92050,True,True,"Item Name: Dole Pineapple in Juice Chunks - 8 oz - 3 pk
Product Description: Dole Pineapple in Juice..."
160003,True,True,"Item Name: New Size Marshalls Creek Spices Cajun Seasoning, 13 Ounce
Bullet Point 1: Marshalls Creek..."
110326,True,True,"Item Name: Maud's Organic Chai Tea Pods, 24 ct, Recyclable Single Serve Tea Pods – 100% Gourmet Blen..."
143699,True,True,"Item Name: Sweet Corn Black Tea (Loose) (8 oz, ZIN: 532005) - 3 Pack
Bullet Point 1: Our Sweet Corn ..."
66426,True,True,"Item Name: SOLA Low Carb & Keto Friendly Bagels, Blu-berry - 5g Net Carbs & 15g of Protein, No Added..."
297010,True,True,"Item Name: Starbucks Double Shot Mocha, 15 Fl Oz (Pack of 12)
Bullet Point 1: Rich Starbucks coffee ..."
221734,True,True,"Item Name: McCormick Grill Mates Spicy Montreal Steak Seasoning (Pack of 10)
Bullet Point 1: Blend f..."
57696,True,True,"Item Name: Michaels Of Bro, Homestyle Gravy, 16 Ounce
Bullet Point 1: Michaels Of Bro, Homestyle Gra..."
151150,True,True,"Item Name: The GFB Oatmeal Raisin Protein Bars - Gluten Free, Plant Based, Non GMO, Sustainably Made..."
17929,True,True,"Item Name: Burnt Sugar Yerba Mate Tea (Loose) (8 oz, ZIN: 547900) - 2 Pack
Bullet Point 1: Our Burnt..."
16136,True,True,Item Name: Asia Trans Li Hing Mui Dried Ginger Candy - Crystallized and Preserved Asian Fruit Slices...
221234,True,True,"Item Name: MariGold Keto Fat Bombs Snacks - Peanut Butter - Low Carb, Collagen Rich, Organic Peanut ..."
252779,True,True,"Item Name: Simply Organic Vanilla Extract, Certified Organic | 8 oz | Pack of 6
Value: 48.0
Unit: Ou..."
269532,True,True,"Item Name: Mio Energy Liquid Water Enhancer, Tropical Fusion, 1.62 OZ (Pack of 4)
Bullet Point 1: Ea..."
77067,True,True,"Item Name: Kervan Candy Bebeto Gummy Bears - Fruity, Soft & Sweet Gummy Candy Bulk for Kids, Gift Sn..."
289489,True,True,"Item Name: Desert Essence Coconut Body Wash - Nourishing Body Wash with Jojoba Oil, Organic Coconut ..."
297033,True,True,"Item Name: Pacific Merchants Acaciaware 10- by 3-Inch Acacia Wood Round Calabash Serving/Salad Bowl
..."
79518,True,True,"Item Name: Near East Quinoa Rosemary Olive Oil
Value: 39.2
Unit: Fl Oz
"
262905,True,True,"Item Name: Foods Alive | Organic Zesty Italian Salad Dressing |16 oz
Bullet Point: Foods Alive | Org..."
231581,True,True,"Item Name: Jack Link's Classics Meat Sticks, Original - Protein Snack, Meat Snack Sticks with 5g of ..."
